key,en,es,fr,de,pt,th,vi,id,ms,fil,zh
faq.send.body,"1) Menu → Send;
2) Choose token (USDT / TON / ⭐ points), total amount, shares;
3) Choose location (group/DM), optional note, then confirm;
4) For groups, ensure the bot is invited and has send permission.","1. Menú → Enviar sobre;
2. Elige moneda, total y partes;
3. Elige destino (grupo/privado), mensaje opcional, confirmar;
4. En grupos, asegúrate de que el bot esté y pueda enviar.","1. Menu → Envoyer ;
2. Choisir devise, total, parts ;
3. Choisir l’emplacement (groupe/privé), message optionnel, confirmer ;
4. Pour un groupe, assure-toi que le bot est présent avec droit d’envoi.","1. Menü → Umschlag senden;
2. Währung, Gesamtbetrag, Anteile wählen;
3. Ort wählen (Gruppe/privat), optionaler Text, bestätigen;
4. In Gruppen sicherstellen, dass der Bot anwesend ist und senden darf.",,,"1. Mở menu → Gửi phong bao;
2. Chọn loại tiền (USDT/TON/⭐ điểm), tổng tiền, số phần;
3. Chọn nơi gửi (nhóm/riêng), nhập lời chúc (tùy chọn), xác nhận;
4. Nếu gửi vào nhóm, đảm bảo bot đã vào và có quyền gửi tin.",,,,"1. 打开菜单 → 发红包；
2. 选择币种（USDT / TON / ⭐积分）、总额、份数；
3. 选择投放位置（群内/私聊），补充祝福语（可跳过），确认发送；
4. 如果投放到群，请确保机器人已在目标群且有发言权限。"
faq.send.title,"""🧧 How to send""","""🧧 Enviar sobre""","""🧧 Envoyer une enveloppe""","""🧧 Umschlag senden""",,,"""🧧 Cách gửi phong bao""",,,,"""🧧 如何发红包"""
hb.grab,"""🤲 Grab now""","""🤲 Reclamar ahora""","""🤲 Récupérer maintenant""","""🤲 Jetzt greifen""",,"""🤲 รับตอนนี้""","""🤲 Nhận ngay""",,,,"""🤲 立即抢"""
hb.rank_btn,"""🏆 View ranking""","""🏆 Ver clasificación""","""🏆 Voir le classement""","""🏆 Rangliste ansehen""",,"""🏆 ดูอันดับ""","""🏆 Xem bảng xếp hạng""",,,,"""🏆 查看排行"""
help.ai_empty,"""Please send your question.""","""Envía tu pregunta directamente.""","""Envoie directement ta question.""","""Sende deine Frage direkt.""",,,"""Hãy gửi câu hỏi trực tiếp.""",,,,"""请直接发送你的问题～"""
help.ai_fallback,"""Didn’t fully get that. Try keywords: send, grab, top-up, withdraw, rules, fairness. Or tap the buttons below.""","""No entendí del todo. Prueba: enviar sobre, reclamar, recarga, retiro, reglas, equidad. O usa los botones de abajo.""","""Je n’ai pas bien compris. Essaie : envoyer enveloppe, récupérer, recharge, retrait, règles, équité. Ou utilise les boutons ci-dessous.""","""Nicht ganz verstanden. Versuche: Umschlag senden, greifen, aufladen, auszahlen, Regeln, Fairness. Oder nutze die Buttons unten.""",,,"""Mình chưa hiểu rõ. Thử các từ khóa: gửi phong bao, nhận phong bao, nạp, rút, quy tắc, công bằng. Hoặc dùng các nút bên dưới.""",,,,"""我没有完全听懂你的问题。你可以试试这些关键词：发红包、抢红包、充值、提现、规则、公平性。也可以点下方按钮浏览常见问题。"""
help.ask_ai,"""💡 Ask me (AI)""","""💡 Preguntarme (IA)""","""💡 Me demander (IA)""","""💡 Mich fragen (KI)""",,,"""💡 Hỏi mình (AI)""",,,,"""💡 直接问我（AI）"""
help.ask_ai_btn,"""🤖 Ask me (AI)""","""🤖 Preguntarme (IA)""","""🤖 Me demander (IA)""","""🤖 Mich fragen (KI)""",,,"""🤖 Hỏi mình (AI)""",,,,"""🤖 直接问我（AI）"""
help.ask_me,"""Send your question (中文/English).""","""Envía tu pregunta (中文/English/Español ok).""","""Envoie ta question (中文/English/Français ok).""","""Sende deine Frage (中文/English/Deutsch ok).""",,,"""Gửi câu hỏi của bạn (中文/English/Tiếng Việt đều được).""",,,,"""请直接把你的问题发给我（支持中文/English）～"""
help.ask_placeholder,"""e.g., How to send to a specific group?""","""Ej.: ¿Cómo envío a un grupo específico?""","""Ex. : comment envoyer vers un groupe précis ?""","""Z. B.: Wie sende ich in eine bestimmte Gruppe?""",,,"""Ví dụ: Làm sao gửi vào nhóm chỉ định?""",,,,"""例如：怎么把红包发到指定群？"""
help.exit_ai,"""🚪 Exit AI mode""","""🚪 Salir del modo IA""","""🚪 Quitter le mode IA""","""🚪 KI-Modus verlassen""",,,"""🚪 Thoát chế độ AI""",,,,"""🚪 退出 AI 模式"""
help.exit_ai_tip,"""To exit, tap “Exit AI mode” or go back.""","""Para salir, pulsa «Salir del modo IA» o Atrás.""","""Pour quitter, clique « Quitter le mode IA » ou Retour.""","""Zum Beenden „KI-Modus verlassen“ oder Zurück tippen.""",,,"""Để thoát, bấm “Thoát chế độ AI” hoặc Quay lại.""",,,,"""如需退出，可点下方“退出 AI 模式”或点击返回。"""
help.exit_ok,"""Exited AI mode.""","""Modo IA desactivado.""","""Mode IA quitté.""","""KI-Modus beendet.""",,,"""Đã thoát chế độ AI.""",,,,"""已退出 AI 模式。"""
help.faq.grab,"""🤲 How to grab""","""🤲 Reclamar sobre""","""🤲 Récupérer une enveloppe""","""🤲 Umschlag greifen""",,,"""🤲 Cách nhận phong bao""",,,,"""🤲 如何抢红包"""
help.faq.rank,"""🏆 Ranking / Today""","""🏆 Clasificación/Resumen""","""🏆 Classement/Bilan""","""🏆 Rangliste/Bilanz""",,,"""🏆 BXH/Thống kê hôm nay""",,,,"""🏆 排行/今日战绩"""
help.faq.recharge,"""💳 Top-up & Withdraw""","""💳 Recarga y retiro""","""💳 Recharge & Retrait""","""💳 Aufladen & Auszahlung""",,,"""💳 Nạp & Rút""",,,,"""💳 充值与提现"""
help.faq.rules,"""⚖️ Rules & Fairness""","""⚖️ Reglas y equidad""","""⚖️ Règles & Équité""","""⚖️ Regeln & Fairness""",,,"""⚖️ Quy tắc & Công bằng""",,,,"""⚖️ 规则与公平性"""
help.faq.send,"""🧧 How to send""","""🧧 Enviar sobre""","""🧧 Envoyer une enveloppe""","""🧧 Umschlag senden""",,,"""🧧 Cách gửi phong bao""",,,,"""🧧 如何发红包"""
help.faq.withdraw,"""🏧 How to withdraw""","""🏧 Retiro""","""🏧 Retrait""","""🏧 Auszahlung""",,,"""🏧 Rút tiền""",,,,"""🏧 如何提现"""
help.subtitle,"""Browse FAQs or just ask me directly.""","""FAQ rápida. También puedes preguntar directamente.""","""FAQ rapide. Tu peux aussi me poser ta question directement.""","""Schnelle FAQ. Du kannst mir auch direkt schreiben.""",,,"""Câu hỏi thường gặp nhanh; bạn cũng có thể hỏi trực tiếp.""",,,,"""常见问题一键查看；也可以直接向我提问～"""
help.thinking,"""Thinking...""","""Pensando. Un momento…""","""Je réfléchis. Patience…""","""Ich denke nach. Einen Moment…""",,,"""Đang suy nghĩ… vui lòng đợi.""",,,,"""思考中，请稍候..."""
help.title,"""❓ Help Center""","""❓ Centro de ayuda""","""❓ Centre d’aide""","""❓ Hilfezentrum""",,,"""❓ Trung tâm trợ giúp""",,,,"""❓ 帮助中心"""
hongbao.buttons.relay,"""🔁 Forward""","""🔁 Reenviar""","""🔁 Relayer""","""🔁 Weiterleiten""",,,,,,,"""🔁 转发"""
hongbao.cover.pick_title,"""🖼 Pick a cover to attach:""","""🖼 Elige una portada:""","""🖼 Choisis une couverture :""","""🖼 Wähle ein Cover:""",,,,,,,"""🖼 请选择要附加的封面："""
hongbao.cover.used_ok,"""✅ Cover attached and card sent""","""✅ Portada añadida y tarjeta enviada""","""✅ Couverture ajoutée et carte envoyée""","""✅ Cover angefügt und Karte gesendet""",,,,,,,"""✅ 封面已附加并发送卡片"""
hongbao.errors.only_mvp,"""⚠️ Only the Best-Luck user can continue to send""","""⚠️ Solo el usuario con mejor suerte puede enviar el siguiente""","""⚠️ Seul l’utilisateur meilleur chance peut envoyer la suivante""","""⚠️ Nur der Nutzer mit bestem Glück darf den nächsten Umschlag senden""",,,,,,,"""⚠️ 只有最佳手气用户才能继续发红包"""
hongbao.grab_dup,"""⚠️ You already grabbed this packet.""","""⚠️ Ya reclamaste este sobre.""","""⚠️ Tu as déjà récupéré cette enveloppe.""","""⚠️ Du hast diesen Umschlag bereits gegriffen.""",,,,,,,"""⚠️ 你已经抢过这个红包啦。"""
hongbao.grab_now,"""🤲 Grab Now""","""🤲 Reclamar ahora""","""🤲 Récupérer maintenant""","""🤲 Jetzt greifen""",,,,,,,"""🤲 立即抢"""
hongbao.grab_ok,"""🎉 You grabbed {amount} {token}!""","""🎉 ¡Has reclamado {amount} {token}!""","""🎉 Tu as récupéré {amount} {token} !""","""🎉 Du hast {amount} {token} gegriffen!""",,,,,,,"""🎉 你抢到 {amount} {token}！"""
hongbao.mvp.success,"""✅ New packet created from the Best-Luck data""","""✅ Nuevo sobre creado con los datos del MVP""","""✅ Nouvelle enveloppe créée avec les données du MVP""","""✅ Neuer Umschlag mit MVP-Daten erstellt""",,,,,,,"""✅ 已使用最佳手气数据生成新红包"""
hongbao.summary.left,"""📦 Left: {left} shares""","""📦 Restantes: {left} parte(s)""","""📦 Restant : {left} part(s)""","""📦 Übrig: {left} Anteil(e)""",,,,,,,"""📦 剩余：{left} 份"""
hongbao.summary.title,"""📊 <b>Round Summary</b>""","""📊 <b>Resumen de la ronda</b>""","""📊 <b>Résumé de la manche</b>""","""📊 <b>Rundenzusammenfassung</b>""",,,,,,,"""📊 <b>本轮总结</b>"""
hongbao.summary.total,"""💰 Total: {amount} {token}, {shares} shares""","""💰 Total: {amount} {token}, {shares} parte(s)""","""💰 Total : {amount} {token}, {shares} part(s)""","""💰 Gesamt: {amount} {token}, {shares} Anteil(e)""",,,,,,,"""💰 总额：{amount} {token}，{shares} 份"""
hongbao.view_rank,"""🏆 View Ranking""","""🏆 Ver clasificación""","""🏆 Voir le classement""","""🏆 Rangliste ansehen""",,,,,,,"""🏆 查看排行"""
hongbao.wizard_title,"""🧧 Send Packet Wizard""","""🧧 Asistente de envío""","""🧧 Assistant d’envoi""","""🧧 Sende-Assistent""",,,,,,,"""🧧 发红包向导"""
hongbao_result.dup,"""⚠️ You already grabbed this packet.""","""⚠️ Ya reclamaste este sobre.""","""⚠️ Tu as déjà récupéré cette enveloppe.""","""⚠️ Du hast diesen Umschlag bereits gegriffen.""",,"""⚠️ คุณรับไปแล้ว""","""⚠️ Bạn đã nhận phong bao này rồi.""",,,,"""⚠️ 你已经抢过这个红包啦。"""
hongbao_result.duplicate,"""⚠️ You already grabbed this packet.""","""⚠️ Ya reclamaste este sobre.""","""⚠️ Tu as déjà récupéré cette enveloppe.""","""⚠️ Du hast diesen Umschlag bereits gegriffen.""",,"""⚠️ คุณรับไปแล้ว""","""⚠️ Bạn đã nhận phong bao này rồi.""",,,,"""⚠️ 你已经抢过这个红包啦。"""
hongbao_result.ok,"""🎉 You grabbed {amount} {token}!""","""🎉 ¡Has reclamado {amount} {token}!""","""🎉 Tu as récupéré {amount} {token} !""","""🎉 Du hast {amount} {token} gegriffen!""",,"""🎉 คุณได้รับ {amount} {token}!""","""🎉 Bạn đã nhận được {amount} {token}!""",,,,"""🎉 你抢到 {amount} {token}！"""
hongbao_summary.left,"""📦 Left: {left} shares""","""📦 Restantes: {left} parte(s)""","""📦 Restant : {left} part(s)""","""📦 Übrig: {left} Anteil(e)""",,"""📦 เหลือ: {left} ซอง""","""📦 Còn lại: {left} phần""",,,,"""📦 剩余：{left} 份"""
hongbao_summary.title,"""📊 <b>Round Summary</b>""","""📊 <b>Resumen de la ronda</b>""","""📊 <b>Résumé de la manche</b>""","""📊 <b>Rundenzusammenfassung</b>""",,"""📊 <b>สรุปรอบนี้</b>""","""📊 <b>Tổng kết vòng</b>""",,,,"""📊 <b>本轮总结</b>"""
hongbao_summary.total,"""💰 Total: {amount} {token}, {shares} shares""","""💰 Total: {amount} {token}, {shares} parte(s)""","""💰 Total : {amount} {token}, {shares} part(s)""","""💰 Gesamt: {amount} {token}, {shares} Anteil(e)""",,"""💰 รวม: {amount} {token}, {shares} ซอง""","""💰 Tổng: {amount} {token}, {shares} phần""",,,,"""💰 总额：{amount} {token}，{shares} 份"""
labels.amount,"""💵 Amount""","""💵 Importe""","""💵 Montant""","""💵 Betrag""",,,"""💵 Số tiền""",,,,"""💵 金额"""
labels.energy,"""⚡ Energy""","""⚡ Energía""","""⚡ Énergie""","""⚡ Energie""",,,"""⚡ Năng lượng""",,,,"""⚡ 能量"""
labels.is_last,"""🔚 Last""","""🔚 Último""","""🔚 Dernier""","""🔚 Letzter""",,,"""🔚 Cuối cùng""",,,,"""🔚 末位"""
labels.last,"""🔚 Tail""","""🔚 Último""","""🔚 Dernier""","""🔚 Letzter""",,,"""🔚 Cuối""",,,,"""🔚 尾包"""
labels.point,"""⭐ Star""","""⭐ Estrellas""","""⭐ Étoiles""","""⭐ Sterne""",,,"""⭐ Sao""",,,,"""⭐ 星星"""
labels.token,"""🪙 Token""","""🪙 Moneda""","""🪙 Devise""","""🪙 Währung""",,,"""🪙 Loại tiền""",,,,"""🪙 币种"""
labels.ton,"""🪙 TON""","""🪙 TON""","""🪙 TON""","""🪙 TON""",,,"""🪙 TON""",,,,"""🪙 TON"""
labels.usdt,"""💵 USDT""","""💵 USDT""","""💵 USDT""","""💵 USDT""",,,"""💵 USDT""",,,,"""💵 USDT"""
labels.user_id,"""🆔 User ID""","""🆔 ID de usuario""","""🆔 ID utilisateur""","""🆔 Benutzer-ID""",,,"""🆔 ID người dùng""",,,,"""🆔 用户ID"""
labels.user_tg_id,"""🆔 Telegram User ID""","""🆔 ID de Telegram""","""🆔 ID Telegram""","""🆔 Telegram-ID""",,,"""🆔 ID Telegram""",,,,"""🆔 Telegram 用户ID"""
lang.de,"""🇩🇪 Deutsch""","""🇩🇪 Deutsch""","""🇩🇪 Deutsch""","""🇩🇪 Deutsch""",,"""🇩🇪 Deutsch""","""🇩🇪 Deutsch""",,,,"""🇩🇪 Deutsch"""
lang.en,"""🇺🇸 English""","""🇺🇸 English""","""🇺🇸 English""","""🇺🇸 English""",,"""🇺🇸 English""","""🇺🇸 English""",,,,"""🇺🇸 English"""
lang.es,"""🇪🇸 Español""","""🇪🇸 Español""","""🇪🇸 Español""","""🇪🇸 Español""",,"""🇪🇸 Español""","""🇪🇸 Español""",,,,"""🇪🇸 Español"""
lang.fr,"""🇫🇷 Français""","""🇫🇷 Français""","""🇫🇷 Français""","""🇫🇷 Français""",,"""🇫🇷 Français""","""🇫🇷 Français""",,,,"""🇫🇷 Français"""
lang.hi,"""🇮🇳 हिन्दी""","""🇮🇳 हिन्दी""","""🇮🇳 हिन्दी""","""🇮🇳 हिन्दी""",,"""🇮🇳 हिन्दी""","""🇮🇳 हिन्दी""",,,,"""🇮🇳 हिन्दी"""
lang.th,"""🇹🇭 ไทย""","""🇹🇭 ไทย""","""🇹🇭 ไทย""","""🇹🇭 ไทย""",,"""🇹🇭 ไทย""","""🇹🇭 ไทย""",,,,"""🇹🇭 ไทย"""
lang.title,"""🌐 Choose language""","""🌐 请选择语言""","""🌐 请选择语言""","""🌐 请选择语言""",,"""🌐 请选择语言""","""🌐 请选择语言""",,,,"""🌐 请选择语言"""
lang.vi,"""🇻🇳 Tiếng Việt""","""🇻🇳 Tiếng Việt""","""🇻🇳 Tiếng Việt""","""🇻🇳 Tiếng Việt""",,"""🇻🇳 Tiếng Việt""","""🇻🇳 Tiếng Việt""",,,,"""🇻🇳 Tiếng Việt"""
lang.zh,"""🇨🇳 Simplified Chinese""","""🇨🇳 简体中文""","""🇨🇳 简体中文""","""🇨🇳 简体中文""",,"""🇨🇳 简体中文""","""🇨🇳 简体中文""",,,,"""🇨🇳 简体中文"""
menu.admin,"""🛠 Admin Panel""","""🛠 Panel de admin""","""🛠 Panneau d’admin""","""🛠 Admin-Panel""",,,,,,,"""🛠 管理面板"""
menu.assets,"""💼 My Assets""","""💼 Mis activos""","""💼 Mes actifs""","""💼 Meine Vermögenswerte""",,,,,,,"""💼 我的资产"""
menu.back,"""⬅️ Back""","""⬅️ Atrás""","""⬅️ Retour""","""⬅️ Zurück""",,,,,,,"""⬅️ 返回"""
menu.bind_hint_in_group,"""Detected you are configuring in a group. Click below to bind this group and continue in DM.""","""Detectada configuración en grupo. Pulsa abajo para vincularlo y seguir en privado.""","""Détecté un réglage en groupe. Clique ci-dessous pour lier ce groupe et continuer en privé.""","""Einstellung in einer Gruppe erkannt. Klicke unten, um diese Gruppe zu binden und privat fortzufahren.""",,,,,,,"""检测到你在群内设置。点击下方按钮绑定本群并在私聊继续。"""
menu.bind_this_group,"""Bind this group and continue in DM ➡️""","""Vincular este grupo y seguir en privado ➡️""","""Lier ce groupe et continuer en privé ➡️""","""Diese Gruppe binden und privat fortsetzen ➡️""",,,,,,,"""绑定本群并在私聊继续 ➡️"""
menu.bound_dm_tips,"""You have a target group bound. You can start sending here.""","""Ya tienes un grupo objetivo vinculado. Puedes empezar a enviar sobres aquí.""","""Un groupe cible est lié. Tu peux commencer à envoyer des enveloppes ici.""","""Eine Zielgruppe ist verknüpft. Du kannst hier Umschläge senden.""",,,,,,,"""你已绑定一个目标群，现在可以在这里开始发红包。"""
menu.bound_go_dm,"""✅ Bound this group as target. Continue in DM.""","""✅ Grupo objetivo guardado. Continúa por privado.""","""✅ Groupe défini comme cible. Continue en message privé.""","""✅ Zielgruppe gesetzt. Bitte im Privatchat fortfahren.""",,,,,,,"""✅ 已绑定本群为目标群，请到私聊继续。"""
menu.bound_ok,"""Bound and continued in DM""","""Vinculado y continuando por privado""","""Lié et continuation en privé""","""Gebunden und im Privatchat fortgesetzt""",,,,,,,"""已绑定并在私聊继续"""
menu.help,"""❓ Help Center""","""❓ Centro de ayuda""","""❓ Centre d’aide""","""❓ Hilfezentrum""",,,,,,,"""❓ 帮助中心"""
menu.language,"""🌐 Language""","""🌐 Idioma""","""🌐 Langue""","""🌐 Sprache""",,,,,,,"""🌐 语言"""
menu.panel,"""🛠 Admin Panel""","""🛠 Panel de admin""","""🛠 Panneau d’admin""","""🛠 Admin-Panel""",,,,,,,"""🛠 管理面板"""
menu.recharge,"""💰 Top-up Center""","""💰 Centro de recarga""","""💰 Centre de recharge""","""💰 Aufladezentrum""",,,,,,,"""💰 充值中心"""
menu.send,"""🧧 Send Packet""","""🧧 Enviar sobre""","""🧧 Envoyer une enveloppe""","""🧧 Umschlag senden""",,,,,,,"""🧧 发红包"""
menu.today,"""📊 Today’s Stats""","""📊 Resumen de hoy""","""📊 Bilan du jour""","""📊 Heutige Bilanz""",,,,,,,"""📊 今日战绩"""
menu.welfare,"""🎁 Rewards""","""🎁 Centro de beneficios""","""🎁 Centre d’avantages""","""🎁 Vorteilscenter""",,,,,,,"""🎁 福利中心"""
"phase.""100""","""🎉 Goal achieved!""","""🎉 ¡Objetivo alcanzado!""","""🎉 Objectif atteint.""","""🎉 Ziel erreicht!""",,"""🎉 สำเร็จ!""","""🎉 Mục tiêu đã đạt!""",,,,"""🎉 目标达成！"""
"phase.""80_89""","""👍 Getting closer!""","""👍 Va mejorando.""","""👍 De mieux en mieux.""","""👍 Es wird.""",,"""👍 ดีขึ้นเรื่อยๆ""","""👍 Đang tốt dần.""",,,,"""👍 越来越近啦！"""
"phase.""90_94""","""⚡ Great momentum!""","""⚡ Gran avance, sigue así.""","""⚡ Super avancée, continue.""","""⚡ Tolle Fortschritte, weiter so.""",,"""⚡ กำลังดีมาก""","""⚡ Tiến triển tốt, tiếp tục nào.""",,,,"""⚡ 进展很棒，继续！"""
"phase.""95_98""","""🔥 Final sprint!""","""🔥 Recta final.""","""🔥 Dernière ligne droite.""","""🔥 Letzte Strecke.""",,"""🔥 โค้งสุดท้าย!""","""🔥 Chặng cuối.""",,,,"""🔥 最后一程 —— 加油！"""
"phase.""99""","""✨ Almost there — push!""","""✨ Casi hecho — a rematar.""","""✨ Plus qu’un rien — fonce.""","""✨ Fast geschafft — Endspurt!""",,"""✨ อีกนิดเดียว!""","""✨ Chỉ còn chút nữa — tăng tốc!""",,,,"""✨ 只差一点点 —— 冲刺！"""
rank.global_offline,"📉 Global ranking is off.
Check 📊 Today’s Stats instead.","📉 Clasificación global desactivada.
Consulta mejor 📊 Resumen de hoy.","📉 Classement global désactivé.
Consulte plutôt 📊 Bilan du jour.","📉 Globale Rangliste deaktiviert.
Sieh stattdessen 📊 Heutige Bilanz.",,"📉 ปิดอันดับรวมทั่วโลก  
โปรดดู 📊 สถิติวันนี้","📉 BXH toàn cục đang tắt.
Hãy xem 📊 Thống kê hôm nay.",,,,"📉 全局排行榜已关闭。
可前往 📊 今日战绩 查看记录。"
rank.lucky,"""🏅 MVP: ✨ {name} ✨ ({amount} {token})""","""🏅 MVP: ✨ {name} ✨ ({amount} {token})""","""🏅 MVP : ✨ {name} ✨ ({amount} {token})""","""🏅 MVP: ✨ {name} ✨ ({amount} {token})""",,"""🏅 MVP: ✨ {name} ✨ ({amount} {token})""","""🏅 MVP: ✨ {name} ✨ ({amount} {token})""",,,,"""🏅 MVP：✨ {name} ✨ （{amount} {token}）"""
rank.meta_line,"""💰 Total: {amount} {token} · 📦 Shares: {shares}""","""💰 Total: {amount} {token} · 📦 Partes: {shares}""","""💰 Total : {amount} {token} · 📦 Parts : {shares}""","""💰 Gesamt: {amount} {token} · 📦 Anteile: {shares}""",,"""💰 รวม: {amount} {token} · 📦 ซอง: {shares}""","""💰 Tổng: {amount} {token} · 📦 Số phần: {shares}""",,,,"""💰 总额：{amount} {token} · 📦 份数：{shares}"""
rank.mvp_dm_tip,"""🏅 You’re the Best-Luck this round. Reuse parameters with one tap:""","""🏅 Eres el MVP de esta ronda. Relanza con un toque:""","""🏅 Tu es le MVP de cette manche. Relance en un clic :""","""🏅 Du bist MVP dieser Runde. Mit einem Klick erneut senden:""",,"""🏅 คุณคือ MVP ของรอบนี้ ส่งอีกครั้งได้ทันที:""","""🏅 Bạn là MVP của vòng này. Gửi lại chỉ với một chạm:""",,,,"""🏅 你是本轮“最佳手气”，可一键复用此轮参数发红包："""
rank.mvp_send_btn,"""🏅 Best-Luck Send""","""🏅 Enviar como MVP""","""🏅 Envoyer en tant que MVP""","""🏅 Als MVP senden""",,"""🏅 ส่งในฐานะ MVP""","""🏅 Gửi với tư cách MVP""",,,,"""🏅 最佳手气发红包"""
rank.none,"""😅 No one yet""","""😅 Aún nadie""","""😅 Personne encore""","""😅 Noch niemand""",,"""😅 ยังไม่มีผู้เล่น""","""😅 Chưa có ai""",,,,"""😅 还没有人出手"""
rank.round_btn,"""🏆 View round ranking""","""🏆 Ver ronda""","""🏆 Voir la manche""","""🏆 Runde ansehen""",,"""🏆 ดูอันดับรอบนี้""","""🏆 Xem BXH của vòng""",,,,"""🏆 查看本轮排行"""
rank.round_title,"""🏆 <b>Best Luck of this round</b>""","""🏆 <b>Mejor suerte de la ronda</b>""","""🏆 <b>Meilleure chance de la manche</b>""","""🏆 <b>Bestes Glück dieser Runde</b>""",,"""🏆 <b>ผู้โชคดีที่สุดของรอบนี้</b>""","""🏆 <b>May mắn nhất vòng này</b>""",,,,"""🏆 <b>本轮最佳手气</b>"""
rank.title,"""🏆 Best Luck""","""🏆 Mejor suerte""","""🏆 Meilleure chance""","""🏆 Bestes Glück""",,"""🏆 ผู้โชคดีที่สุด""","""🏆 Người may mắn nhất""",,,,"""🏆 手气最佳"""
recharge.addr_instr,"💡 Send any amount of {token} to the address above (network: {network}).
⏱ Funds will be credited after on-chain confirmation. Address is reusable.
🔁 If you’ve paid, tap “Refresh status” to update.","💡 Envía cualquier importe de {token} a la dirección de arriba (red: {network}).
⏱ Tras confirmaciones en cadena, se acreditará. Dirección válida de forma permanente y reutilizable.
🔁 Si ya pagaste, pulsa «Actualizar estado».","💡 Envoie n’importe quel montant de {token} à l’adresse ci-dessus (réseau : {network}).
⏱ Après confirmations on-chain, les fonds sont crédités. Adresse valide en continu, réutilisable.
🔁 Si déjà payé, clique « Actualiser » pour mettre à jour.","💡 Sende einen beliebigen Betrag {token} an die obige Adresse (Netzwerk: {network}).
⏱ Nach On-Chain-Bestätigung wird gutgeschrieben. Adresse ist dauerhaft gültig, mehrfach nutzbar.
🔁 Bereits bezahlt? Klicke „Status aktualisieren“.",,"💡 โอน {token} ใดๆ ไปยังที่อยู่ข้างต้น (เครือข่าย: {network})  
⏱ หลังยืนยันบนบล็อกเชน ยอดจะเข้าระบบโดยอัตโนมัติ  
🔁 ถ้าโอนแล้ว ให้กด “รีเฟรชสถานะ” เพื่อตรวจสอบ","💡 Gửi bất kỳ số {token} nào đến địa chỉ trên (mạng: {network}).
⏱ Sau khi xác nhận trên chuỗi, tiền sẽ tự động ghi có. Địa chỉ có hiệu lực lâu dài, dùng nhiều lần.
🔁 Nếu đã chuyển, bấm “Làm mới trạng thái” để cập nhật.",,,,"💡 将任意金额的 {token} 打到上面的地址即充值成功（网络：{network}）。
⏱ 链上确认后，资金会自动入账。本地址长期有效，可多次重复使用。
🔁 如已转账，可点“刷新状态”更新到账。"
recharge.addr_missing,"""No address to copy""","""No hay dirección para copiar""","""Aucune adresse copiable""","""Keine kopierbare Adresse""",,"""ไม่มีที่อยู่ให้คัดลอก""","""Không có địa chỉ để sao chép""",,,,"""没有可复制的地址"""
recharge.choose_amount,"""Choose an amount""","""Elige el importe""","""Choisis le montant""","""Betrag wählen""",,"""เลือกจำนวน""","""Chọn số tiền""",,,,"""请选择金额"""
recharge.choose_method,"""Choose a token""","""Elige la moneda""","""Choisis la devise""","""Währung wählen""",,"""เลือกสกุลเงิน""","""Chọn loại tiền""",,,,"""请选择币种"""
recharge.copy_addr,"""📋 Copy address""","""📋 Copiar dirección""","""📋 Copier l’adresse""","""📋 Adresse kopieren""",,"""📋 คัดลอกที่อยู่""","""📋 Sao chép địa chỉ""",,,,"""📋 复制地址"""
recharge.copy_amount,"""📋 Copy amount""","""📋 Copiar importe""","""📋 Copier le montant""","""📋 Betrag kopieren""",,"""📋 คัดลอกจำนวน""","""📋 Sao chép số tiền""",,,,"""📋 复制金额"""
recharge.created,"""✅ Order created. Follow the instructions to pay.""","""✅ Pedido creado. Sigue las instrucciones.""","""✅ Commande créée. Suis les instructions.""","""✅ Bestellung erstellt. Bitte den Anweisungen folgen.""",,"""✅ สร้างคำสั่งแล้ว กรุณาทำตามขั้นตอน""","""✅ Đã tạo đơn. Hãy làm theo hướng dẫn.""",,,,"""✅ 订单已创建，请按提示完成支付。"""
recharge.custom,"""✏️ Custom amount""","""✏️ Importe personalizado""","""✏️ Montant personnalisé""","""✏️ Eigener Betrag""",,"""✏️ ป้อนจำนวนเอง""","""✏️ Số tiền tùy chọn""",,,,"""✏️ 自定义金额"""
recharge.deposit_addr,"""🔗 Deposit address""","""🔗 Dirección de depósito""","""🔗 Adresse de dépôt""","""🔗 Einzahlungsadresse""",,"""🔗 ที่อยู่สำหรับเติมเงิน""","""🔗 Địa chỉ nạp""",,,,"""🔗 充值地址"""
recharge.fields.address,"""🏦 Address""","""🏦 Dirección""","""🏦 Adresse""","""🏦 Adresse""",,"""🏦 ที่อยู่""","""🏦 Địa chỉ""",,,,"""🏦 收款地址"""
recharge.fields.amount,"""💵 Amount""","""💵 Importe""","""💵 Montant""","""💵 Betrag""",,"""💵 จำนวนเงิน""","""💵 Số tiền""",,,,"""💵 金额"""
recharge.fields.created,"""🗓️ Created at""","""🗓️ Creado""","""🗓️ Créé le""","""🗓️ Erstellt""",,"""🗓️ วันที่สร้าง""","""🗓️ Thời điểm tạo""",,,,"""🗓️ 创建时间"""
recharge.fields.expires,"""⏰ Expires at""","""⏰ Expira""","""⏰ Expire""","""⏰ Läuft ab""",,"""⏰ วันหมดอายุ""","""⏰ Hết hạn""",,,,"""⏰ 过期时间"""
recharge.fields.id,"""🧾 Order ID""","""🧾 ID de pedido""","""🧾 ID commande""","""🧾 Bestell-ID""",,"""🧾 หมายเลขคำสั่งซื้อ""","""🧾 Mã đơn""",,,,"""🧾 订单编号"""
